	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
ERR4650773	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.8353	147.42729	A01-1_BAC		1.380005965	17.10090393	210	-13.93	5
ERR4650774	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.8353	147.42729	A01-2_BAC	12.49	1.380005965	16.45967642	210	-13.93	5
ERR4650775	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83535	147.42674	A02-1_BAC	17.98	1.702236509	29.32486659	210	-13.93	5
ERR4650776	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83535	147.42674	A02-2_BAC	18.43	1.702236509	30.96406069	210	-13.93	5
ERR4650777	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.83516	147.4247	A03-3_BAC	22.03	2.284136136	45.26523931	209	-13.91	5
ERR4650778	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.83516	147.4247	A03-2_BAC	21.03	2.284136136	45.3691	209	-13.91	5
ERR4650779	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83511	147.42378	A04-1_BAC	19.44	2.201275812	37.41697642	209	-13.91	5
ERR4650780	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83487	147.42218	A05-1_BAC	22.39	2.21922434	47.17085873	209	-13.91	5.5
ERR4650781	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.83483	147.42188	A06-1_BAC	33.73	2.636016466	78.90258624	209	-13.91	5
ERR4650782	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.83483	147.42188	A06-2_BAC	33.48	2.636016466	81.07914717	209	-13.91	5
ERR4650783	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83461	147.41678	A08-1_BAC	22.54	1.917288964	41.28691965	209	-13.91	5
ERR4650784	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83461	147.41678	A08-2_BAC	22.36	1.917288964	42.28037052	209	-13.91	5
ERR4650785	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83437	147.41602	A09-1_BAC	20.64	1.40489626	26.35806069	209	-13.9	5
ERR4650786	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83437	147.41602	A09-2_BAC		1.40489626	25.90649214	209	-13.9	5
ERR4650787	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	25	70.83546	147.42735	A10-1_BAC	20.53	1.833424065	34.84755087	210	-13.93	5
