	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU1	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium	OTU1
OTU2	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU2
OTU3	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU3
OTU4	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU4
OTU5	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacteraceae	Geobacter_sp.	OTU5
OTU6	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU6
OTU7	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU7
OTU8	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU8
OTU9	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU9
OTU10	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU10
OTU11	Bacteria							OTU11
OTU12	Bacteria							OTU12
OTU13	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU13
OTU14	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU14
OTU15	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU15
OTU16	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_Armatimonadetes	OTU16
OTU17	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium	OTU17
OTU18	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium	OTU18
OTU19	Bacteria							OTU19
OTU20	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	soil_metagenome	OTU20
OTU21	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU21
OTU22	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU22
OTU23	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU23
OTU24	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_marine	OTU24
OTU25	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256		OTU25
OTU26	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU26
OTU27	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU27
OTU28	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU28
OTU29	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU29
OTU30	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_actinobacterium	OTU30
OTU31	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU31
OTU32	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU32
OTU33	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Actinomycetales	OTU33
OTU34	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Actinomycetales	OTU34
OTU35	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU35
OTU36	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU36
OTU37	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU37
OTU38	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU38
OTU39	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU39
OTU40	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae			OTU40
OTU41	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU41
OTU42	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU42
OTU43	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU43
OTU44	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU44
OTU45	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU45
OTU46	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU46
