Run,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,Sitegroup,Region,geographic_location_.depth..m.,Site,latitude,longitude,Sample_Name
ERR4650773,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.8353,147.42729,A01-1_BAC
ERR4650774,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.8353,147.42729,A01-2_BAC
ERR4650775,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83535,147.42674,A02-1_BAC
ERR4650776,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83535,147.42674,A02-2_BAC
ERR4650777,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83516,147.4247,A03-3_BAC
ERR4650778,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83516,147.4247,A03-2_BAC
ERR4650779,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83511,147.42378,A04-1_BAC
ERR4650780,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83487,147.42218,A05-1_BAC
ERR4650781,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83483,147.42188,A06-1_BAC
ERR4650782,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83483,147.42188,A06-2_BAC
ERR4650783,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83461,147.41678,A08-1_BAC
ERR4650784,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83461,147.41678,A08-2_BAC
ERR4650785,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83437,147.41602,A09-1_BAC
ERR4650786,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83437,147.41602,A09-2_BAC
ERR4650787,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83546,147.42735,A10-1_BAC
ERR4650788,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83546,147.42735,A10-2_BAC
ERR4650789,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01-1_BAC
ERR4650790,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01b-1_BAC
ERR4650791,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01b-2_BAC
ERR4650792,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01bb-2_BAC
ERR4650793,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84309,147.45889,B02-1_BAC
ERR4650794,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84338,147.45911,B03-1_BAC
ERR4650795,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84338,147.45911,B03-2_BAC
ERR4650796,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84353,147.4595,B04-1_BAC
ERR4650797,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84353,147.4595,B04-2_BAC
ERR4650798,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.8431,147.45995,B05-1_BAC
ERR4650799,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.8431,147.45995,B05-2_BAC
ERR4650800,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84298,147.46222,B06-1_BAC
ERR4650801,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84169,147.46689,B07-1_BAC
ERR4650802,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84169,147.46689,B07-2_BAC
ERR4650803,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.83977,147.46613,B08-2_BAC
ERR4650804,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84078,147.46773,B09-1_BAC
ERR4650805,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84089,147.46851,B10-1_BAC
ERR4650806,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84089,147.46851,B10-2_BAC
ERR4650807,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83487,147.42218,A05-2_BAC
ERR4650808,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83511,147.42378,A04-2_BAC
ERR4650809,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83504,147.41971,A07-2_BAC
ERR4650810,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01bb-1_BAC
ERR4650811,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84298,147.46222,B06-2_BAC
ERR4650812,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.83977,147.46613,B08-1_BAC
ERR4650813,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,A,70.83504,147.41971,A07-1_BAC
ERR4650814,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84275,147.45851,B01-2_BAC
ERR4650815,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84078,147.46773,B09-2_BAC
ERR4650816,Russia,Europe,Russia,North-East Siberia,Pan-Arctic,0,B,70.84309,147.45889,B02-2_BAC
ERR2348819,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.32299,-133.846,C4
ERR2348820,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.3117,-133.72665,C5
ERR2348822,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.32299,-133.846,D1
ERR2348827,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.3117,-133.72665,D6
ERR2348831,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.32299,-133.846,E4
ERR2348833,Canada,North America,Canada,western Canadian Arctic,Pan-Arctic,0.1,C,68.3117,-133.72665,E6
ERR4404440,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,1,SIL,67.53515,86.633933,SIL1AWT
ERR4404443,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,1,SIL,67.53515,86.633933,SIL1BWT
ERR4404446,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,2,SIL,67.51375,86.591957,SIL2AWT
ERR4404449,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,2,SIL,67.51375,86.591957,SIL2BWT
